Year,Total,Safety and Security (n),Safety and Security (%),Health and Medical (n),Health and Medical (%),Hazardous Materials (n),Hazardous Materials (%),Energy (n),Energy (%),Communications (n),Communications (%),Transportation (n),Transportation (%),"Food, Hydration, Shelter (n)","Food, Hydration, Shelter (%)",Water Systems (n),Water Systems (%)
2017,0,0,,0,,0,,0,,0,,0,,0,,0,
2018,0,0,,0,,0,,0,,0,,0,,0,,0,
2019,0,0,,0,,0,,0,,0,,0,,0,,0,
2020,920,0,0.0,0,0.0,0,0.0,248,27.0,8,0.9,664,72.2,0,0.0,0,0.0
2021,486,0,0.0,0,0.0,0,0.0,77,15.8,4,0.8,405,83.3,0,0.0,0,0.0
2022,442,0,0.0,0,0.0,0,0.0,41,9.3,2,0.5,399,90.3,0,0.0,0,0.0
2023,634,0,0.0,0,0.0,0,0.0,83,13.1,3,0.5,548,86.4,0,0.0,0,0.0
2024,832,0,0.0,0,0.0,0,0.0,78,9.4,5,0.6,749,90.0,0,0.0,0,0.0
2025,266,0,0.0,0,0.0,0,0.0,9,3.4,0,0.0,257,96.6,0,0.0,0,0.0
2026,0,0,,0,,0,,0,,0,,0,,0,,0,
