Lifeline,Model,Mean_kappa,Mean_Agreement,N_valid
Safety and Security,Qwen3.6-27B,0.65239307279538,0.6781245566747055,30
Safety and Security,InternVL3-8B,0.37382693971621445,0.5468666950394855,30
"Food, Hydration, Shelter",Qwen3.6-27B,0.6485584681703753,0.6779800524761498,30
"Food, Hydration, Shelter",InternVL3-8B,0.3423195515822162,0.5283041860158746,30
Health and Medical,Qwen3.6-27B,0.6894378269641599,0.7,30
Health and Medical,InternVL3-8B,0.4234953961905756,0.5711111111111111,30
Energy,Qwen3.6-27B,0.6400119908933685,0.6695833333333333,30
Energy,InternVL3-8B,0.2690388104935804,0.49583333333333335,30
Communications,Qwen3.6-27B,0.543061938061938,0.7333333333333333,30
Communications,InternVL3-8B,0.13219634771358912,0.4,29
Transportation,Qwen3.6-27B,0.6382367723201446,0.6786994572677016,30
Transportation,InternVL3-8B,0.25286916615877203,0.5241672018435269,30
Hazardous Materials,Qwen3.6-27B,0.3448275862068967,0.5333333333333333,29
Hazardous Materials,InternVL3-8B,0.6444444444444445,0.65,30
Water Systems,Qwen3.6-27B,0.0,0.7,9
Water Systems,InternVL3-8B,0.0,0.2,24
