Year,STATEFP,STUSPS,NAME,obs_count
2017,21,KY,Kentucky,0
2017,28,MS,Mississippi,0
2017,31,NE,Nebraska,0
2017,08,CO,Colorado,0
2017,54,WV,West Virginia,0
2017,56,WY,Wyoming,0
2017,37,NC,North Carolina,0
2017,05,AR,Arkansas,6
2017,49,UT,Utah,0
2017,48,TX,Texas,452
2017,13,GA,Georgia,49
2017,51,VA,Virginia,0
2017,17,IL,Illinois,0
2017,45,SC,South Carolina,7
2017,01,AL,Alabama,0
2017,19,IA,Iowa,0
2017,29,MO,Missouri,0
2017,38,ND,North Dakota,0
2017,10,DE,Delaware,0
2017,06,CA,California,0
2017,47,TN,Tennessee,4
2017,33,NH,New Hampshire,0
2017,41,OR,Oregon,0
2017,50,VT,Vermont,0
2017,35,NM,New Mexico,0
2017,22,LA,Louisiana,9
2017,42,PA,Pennsylvania,1
2017,46,SD,South Dakota,0
2017,16,ID,Idaho,0
2017,25,MA,Massachusetts,0
2017,36,NY,New York,0
2017,44,RI,Rhode Island,0
2017,23,ME,Maine,0
2017,40,OK,Oklahoma,0
2017,53,WA,Washington,0
2017,32,NV,Nevada,0
2017,27,MN,Minnesota,0
2017,04,AZ,Arizona,0
2017,24,MD,Maryland,0
2017,20,KS,Kansas,0
2017,34,NJ,New Jersey,0
2017,39,OH,Ohio,0
2017,18,IN,Indiana,0
2017,09,CT,Connecticut,0
2017,55,WI,Wisconsin,0
2017,12,FL,Florida,201
2017,26,MI,Michigan,0
2017,30,MT,Montana,0
2018,21,KY,Kentucky,0
2018,28,MS,Mississippi,0
2018,31,NE,Nebraska,0
2018,08,CO,Colorado,0
2018,54,WV,West Virginia,0
2018,56,WY,Wyoming,0
2018,37,NC,North Carolina,519
2018,05,AR,Arkansas,0
2018,49,UT,Utah,0
2018,48,TX,Texas,0
2018,13,GA,Georgia,56
2018,51,VA,Virginia,58
2018,17,IL,Illinois,0
2018,45,SC,South Carolina,48
2018,01,AL,Alabama,14
2018,19,IA,Iowa,0
2018,29,MO,Missouri,0
2018,38,ND,North Dakota,0
2018,10,DE,Delaware,1
2018,06,CA,California,0
2018,47,TN,Tennessee,0
2018,33,NH,New Hampshire,0
2018,41,OR,Oregon,0
2018,50,VT,Vermont,0
2018,35,NM,New Mexico,0
2018,22,LA,Louisiana,0
2018,42,PA,Pennsylvania,1
2018,46,SD,South Dakota,0
2018,16,ID,Idaho,0
2018,25,MA,Massachusetts,6
2018,36,NY,New York,5
2018,44,RI,Rhode Island,0
2018,23,ME,Maine,0
2018,40,OK,Oklahoma,0
2018,53,WA,Washington,0
2018,32,NV,Nevada,0
2018,27,MN,Minnesota,0
2018,04,AZ,Arizona,0
2018,24,MD,Maryland,2
2018,20,KS,Kansas,0
2018,34,NJ,New Jersey,0
2018,39,OH,Ohio,0
2018,18,IN,Indiana,0
2018,09,CT,Connecticut,0
2018,55,WI,Wisconsin,0
2018,12,FL,Florida,249
2018,26,MI,Michigan,0
2018,30,MT,Montana,0
2019,21,KY,Kentucky,0
2019,28,MS,Mississippi,3
2019,31,NE,Nebraska,0
2019,08,CO,Colorado,0
2019,54,WV,West Virginia,0
2019,56,WY,Wyoming,0
2019,37,NC,North Carolina,94
2019,05,AR,Arkansas,6
2019,49,UT,Utah,0
2019,48,TX,Texas,0
2019,13,GA,Georgia,22
2019,51,VA,Virginia,22
2019,17,IL,Illinois,0
2019,45,SC,South Carolina,90
2019,01,AL,Alabama,1
2019,19,IA,Iowa,0
2019,29,MO,Missouri,1
2019,38,ND,North Dakota,0
2019,10,DE,Delaware,0
2019,06,CA,California,1
2019,47,TN,Tennessee,0
2019,33,NH,New Hampshire,0
2019,41,OR,Oregon,0
2019,50,VT,Vermont,0
2019,35,NM,New Mexico,0
2019,22,LA,Louisiana,116
2019,42,PA,Pennsylvania,0
2019,46,SD,South Dakota,0
2019,16,ID,Idaho,0
2019,25,MA,Massachusetts,0
2019,36,NY,New York,0
2019,44,RI,Rhode Island,0
2019,23,ME,Maine,0
2019,40,OK,Oklahoma,0
2019,53,WA,Washington,0
2019,32,NV,Nevada,0
2019,27,MN,Minnesota,0
2019,04,AZ,Arizona,0
2019,24,MD,Maryland,2
2019,20,KS,Kansas,0
2019,34,NJ,New Jersey,0
2019,39,OH,Ohio,0
2019,18,IN,Indiana,0
2019,09,CT,Connecticut,0
2019,55,WI,Wisconsin,0
2019,12,FL,Florida,127
2019,26,MI,Michigan,0
2019,30,MT,Montana,0
2020,21,KY,Kentucky,1
2020,28,MS,Mississippi,144
2020,31,NE,Nebraska,0
2020,08,CO,Colorado,0
2020,54,WV,West Virginia,0
2020,56,WY,Wyoming,0
2020,37,NC,North Carolina,67
2020,05,AR,Arkansas,51
2020,49,UT,Utah,0
2020,48,TX,Texas,230
2020,13,GA,Georgia,89
2020,51,VA,Virginia,58
2020,17,IL,Illinois,0
2020,45,SC,South Carolina,117
2020,01,AL,Alabama,206
2020,19,IA,Iowa,0
2020,29,MO,Missouri,0
2020,38,ND,North Dakota,0
2020,10,DE,Delaware,21
2020,06,CA,California,0
2020,47,TN,Tennessee,128
2020,33,NH,New Hampshire,2
2020,41,OR,Oregon,0
2020,50,VT,Vermont,0
2020,35,NM,New Mexico,0
2020,22,LA,Louisiana,634
2020,42,PA,Pennsylvania,33
2020,46,SD,South Dakota,0
2020,16,ID,Idaho,0
2020,25,MA,Massachusetts,8
2020,36,NY,New York,36
2020,44,RI,Rhode Island,0
2020,23,ME,Maine,2
2020,40,OK,Oklahoma,9
2020,53,WA,Washington,0
2020,32,NV,Nevada,0
2020,27,MN,Minnesota,0
2020,04,AZ,Arizona,0
2020,24,MD,Maryland,30
2020,20,KS,Kansas,0
2020,34,NJ,New Jersey,31
2020,39,OH,Ohio,0
2020,18,IN,Indiana,0
2020,09,CT,Connecticut,48
2020,55,WI,Wisconsin,0
2020,12,FL,Florida,211
2020,26,MI,Michigan,42
2020,30,MT,Montana,0
2021,21,KY,Kentucky,106
2021,28,MS,Mississippi,39
2021,31,NE,Nebraska,0
2021,08,CO,Colorado,0
2021,54,WV,West Virginia,4
2021,56,WY,Wyoming,0
2021,37,NC,North Carolina,1
2021,05,AR,Arkansas,23
2021,49,UT,Utah,0
