Year,Model,Geographic Cue,Mean kappa_w,Mean agreement
2017,InternVL3-8B,Building and structure,0.2484052093158515,0.4447322970639033
2017,InternVL3-8B,Global scene,0.37605514836052967,0.6122625215889465
2017,InternVL3-8B,Objects and facilities,0.2500229667066535,0.46545768566493967
2017,InternVL3-8B,Road and transport,0.2540607254081037,0.4127806563039725
2017,InternVL3-8B,Vegetation and terrain,0.24046862290181817,0.4568221070811744
2017,Qwen3.6-27B,Building and structure,0.7292885385988,0.7530224525043177
2017,Qwen3.6-27B,Global scene,0.681994441767931,0.726252158894646
2017,Qwen3.6-27B,Objects and facilities,0.4825339839038243,0.5811744386873922
2017,Qwen3.6-27B,Road and transport,0.6181600412978389,0.6597582037996547
2017,Qwen3.6-27B,Vegetation and terrain,0.5938427868632397,0.607944732297064
2018,InternVL3-8B,Building and structure,0.17803420421977414,0.42811704834605585
2018,InternVL3-8B,Global scene,0.31369638202427313,0.5661577608142497
2018,InternVL3-8B,Objects and facilities,0.20761122674492316,0.46692111959287513
2018,InternVL3-8B,Road and transport,0.20284408972689402,0.4160305343511452
2018,InternVL3-8B,Vegetation and terrain,0.22887345059954167,0.44592875318066166
2018,Qwen3.6-27B,Building and structure,0.6801628969511285,0.7264631043256996
2018,Qwen3.6-27B,Global scene,0.5844465113000369,0.6730279898218828
2018,Qwen3.6-27B,Objects and facilities,0.4974965929986707,0.5986005089058525
2018,Qwen3.6-27B,Road and transport,0.6585389260419646,0.6825699745547072
2018,Qwen3.6-27B,Vegetation and terrain,0.567642479441534,0.5966921119592878
2019,InternVL3-8B,Building and structure,0.22678089048378,0.45138888888888884
2019,InternVL3-8B,Global scene,0.5203219130159665,0.6656746031746031
2019,InternVL3-8B,Objects and facilities,0.3254829880373122,0.5009920634920635
2019,InternVL3-8B,Road and transport,0.31334029451652495,0.47023809523809534
2019,InternVL3-8B,Vegetation and terrain,0.30266154329322564,0.4821428571428572
2019,Qwen3.6-27B,Building and structure,0.6948796733547203,0.7271825396825397
2019,Qwen3.6-27B,Global scene,0.6650870005798245,0.7103174603174603
2019,Qwen3.6-27B,Objects and facilities,0.518899540480887,0.5863095238095236
2019,Qwen3.6-27B,Road and transport,0.6857570841545296,0.695436507936508
2019,Qwen3.6-27B,Vegetation and terrain,0.5788987660617883,0.6061507936507938
2020,InternVL3-8B,Building and structure,0.3351443617421734,0.523032629558541
2020,InternVL3-8B,Global scene,0.463233396926255,0.6343570057581573
2020,InternVL3-8B,Objects and facilities,0.281213282548796,0.49968010236724236
2020,InternVL3-8B,Road and transport,0.30085729791627397,0.4638515674984005
2020,InternVL3-8B,Vegetation and terrain,0.2910757681465182,0.498080614203455
2020,Qwen3.6-27B,Building and structure,0.7498673551903573,0.7456813819577736
2020,Qwen3.6-27B,Global scene,0.6876813383666054,0.7229686500319898
2020,Qwen3.6-27B,Objects and facilities,0.5250392595655748,0.6094049904030711
2020,Qwen3.6-27B,Road and transport,0.6476002089350809,0.6573896353166987
2020,Qwen3.6-27B,Vegetation and terrain,0.5783022400130527,0.6065259117082533
2021,InternVL3-8B,Building and structure,0.37424378276506837,0.5618972746331237
2021,InternVL3-8B,Global scene,0.45614438064962654,0.640625
2021,InternVL3-8B,Objects and facilities,0.29095499086858234,0.5302083333333334
2021,InternVL3-8B,Road and transport,0.3727828184314248,0.517059748427673
2021,InternVL3-8B,Vegetation and terrain,0.30411256814267695,0.5166666666666667
2021,Qwen3.6-27B,Building and structure,0.7449235805937238,0.7235980083857442
2021,Qwen3.6-27B,Global scene,0.6664919782965243,0.7458333333333332
2021,Qwen3.6-27B,Objects and facilities,0.5466621170421399,0.6395833333333333
2021,Qwen3.6-27B,Road and transport,0.6775006546642907,0.6724187631027253
2021,Qwen3.6-27B,Vegetation and terrain,0.5983128184628603,0.6489583333333333
2022,InternVL3-8B,Building and structure,0.2527179769689132,0.48724375280562615
2022,InternVL3-8B,Global scene,0.35218469825777604,0.5934959349593495
2022,InternVL3-8B,Objects and facilities,0.2347901123997902,0.5152439024390245
2022,InternVL3-8B,Road and transport,0.270191430060856,0.4857723577235775
2022,InternVL3-8B,Vegetation and terrain,0.2841700617279958,0.540650406504065
2022,Qwen3.6-27B,Building and structure,0.7147284214184356,0.6877088632849521
2022,Qwen3.6-27B,Global scene,0.6824451068528465,0.7317073170731708
2022,Qwen3.6-27B,Objects and facilities,0.5221496070669532,0.6199186991869918
2022,Qwen3.6-27B,Road and transport,0.7125078507620687,0.6819105691056911
2022,Qwen3.6-27B,Vegetation and terrain,0.6203892942564683,0.6524390243902438
2023,InternVL3-8B,Building and structure,0.25268916864372515,0.48702185792349734
