Year,Model,Mean kappa_w,Mean agreement
2017,InternVL3-8B,0.27380253453859127,0.47841105354058727
2017,Qwen3.6-27B,0.6211639584863268,0.6656303972366149
2018,InternVL3-8B,0.22621187066308124,0.4646310432569975
2018,Qwen3.6-27B,0.597657481346667,0.6554707379134861
2019,InternVL3-8B,0.3377175258693619,0.5140873015873015
2019,Qwen3.6-27B,0.6287044129263499,0.665079365079365
2020,InternVL3-8B,0.3343048214560033,0.5238003838771592
2020,Qwen3.6-27B,0.6376980804141342,0.6683941138835573
2021,InternVL3-8B,0.3596477081714758,0.5532914046121593
2021,Qwen3.6-27B,0.6467782298119078,0.6860783542976939
2022,InternVL3-8B,0.27881085588306626,0.5244812708863286
2022,Qwen3.6-27B,0.6504440560713545,0.6747368946082098
2023,InternVL3-8B,0.2428172205035404,0.49631147540983606
2023,Qwen3.6-27B,0.6464239748739474,0.6814207650273224
2024,InternVL3-8B,0.3001551930618639,0.528678516100015
2024,Qwen3.6-27B,0.6521724096514697,0.6826861677022428
2025,InternVL3-8B,0.21216976490390085,0.4910330330330331
2025,Qwen3.6-27B,0.6413811741981748,0.6712012012012012
