Year,Model,Reasoning Evidence,Mean kappa_w,Mean agreement
2017,InternVL3-8B,Appearance,0.2806077412148615,0.4559585492227979
2017,InternVL3-8B,Landmark cue,0.21691778057171338,0.467875647668394
2017,InternVL3-8B,Spatial layout,0.32388208182919903,0.5113989637305699
2017,Qwen3.6-27B,Appearance,0.6381753684726769,0.6316062176165804
2017,Qwen3.6-27B,Landmark cue,0.5024058435248713,0.6352331606217617
2017,Qwen3.6-27B,Spatial layout,0.7229106634614322,0.7300518134715026
2018,InternVL3-8B,Appearance,0.2332532116785886,0.44732824427480933
2018,InternVL3-8B,Landmark cue,0.18710318900779738,0.4568702290076335
2018,InternVL3-8B,Spatial layout,0.2582792113028577,0.4896946564885497
2018,Qwen3.6-27B,Appearance,0.6291613931927609,0.6396946564885496
2018,Qwen3.6-27B,Landmark cue,0.49601949221942726,0.6263358778625955
2018,Qwen3.6-27B,Spatial layout,0.6677915586278126,0.7003816793893131
2019,InternVL3-8B,Appearance,0.3400001646971541,0.49642857142857133
2019,InternVL3-8B,Landmark cue,0.2921084599751071,0.49940476190476185
2019,InternVL3-8B,Spatial layout,0.3810439529358244,0.5464285714285715
2019,Qwen3.6-27B,Appearance,0.6284241777635314,0.6333333333333334
2019,Qwen3.6-27B,Landmark cue,0.534338438854276,0.6428571428571428
2019,Qwen3.6-27B,Spatial layout,0.7233506221612425,0.719047619047619
2020,InternVL3-8B,Appearance,0.3506634383670384,0.5193857965451054
2020,InternVL3-8B,Landmark cue,0.24826221487195502,0.48042226487523976
2020,InternVL3-8B,Spatial layout,0.4039888111290165,0.5715930902111325
2020,Qwen3.6-27B,Appearance,0.6671664200697836,0.6568138195777351
2020,Qwen3.6-27B,Landmark cue,0.49452270513359864,0.6063339731285988
2020,Qwen3.6-27B,Spatial layout,0.7514051160390205,0.742034548944338
2021,InternVL3-8B,Appearance,0.3952638095185859,0.561875
2021,InternVL3-8B,Landmark cue,0.2575891017895864,0.492374213836478
2021,InternVL3-8B,Spatial layout,0.42609021320625506,0.6056250000000001
2021,Qwen3.6-27B,Appearance,0.6775950325664424,0.6925
2021,Qwen3.6-27B,Landmark cue,0.5075477095636923,0.6132350628930817
2021,Qwen3.6-27B,Spatial layout,0.7551919473055887,0.7525000000000001
2022,InternVL3-8B,Appearance,0.313143238676467,0.5426829268292683
2022,InternVL3-8B,Landmark cue,0.18936695444075693,0.46673649558581476
2022,InternVL3-8B,Spatial layout,0.33392237453197476,0.5640243902439026
2022,Qwen3.6-27B,Appearance,0.6656215532949121,0.6707317073170732
2022,Qwen3.6-27B,Landmark cue,0.5317539620314646,0.6156740984587761
2022,Qwen3.6-27B,Spatial layout,0.7539566528876867,0.7378048780487805
2023,InternVL3-8B,Appearance,0.24468787887926352,0.4971311475409836
2023,InternVL3-8B,Landmark cue,0.18670441498985754,0.4540983606557377
2023,InternVL3-8B,Spatial layout,0.2970593676415002,0.5377049180327867
2023,Qwen3.6-27B,Appearance,0.689935250168219,0.6942622950819672
2023,Qwen3.6-27B,Landmark cue,0.5067852640890588,0.6086065573770492
2023,Qwen3.6-27B,Spatial layout,0.7425514103645644,0.7413934426229508
2024,InternVL3-8B,Appearance,0.3097609420604504,0.5371757925072045
2024,InternVL3-8B,Landmark cue,0.22535440865266118,0.47031700288184464
2024,InternVL3-8B,Spatial layout,0.3653502284724801,0.5785427529109959
2024,Qwen3.6-27B,Appearance,0.6716886028846775,0.6867435158501441
2024,Qwen3.6-27B,Landmark cue,0.5256823836909766,0.6118155619596541
2024,Qwen3.6-27B,Spatial layout,0.7591462423787552,0.7494994252969299
2025,InternVL3-8B,Appearance,0.20833765983876212,0.4920000000000001
2025,InternVL3-8B,Landmark cue,0.13436446861149542,0.45309909909909907
2025,InternVL3-8B,Spatial layout,0.293807166261445,0.5280000000000001
2025,Qwen3.6-27B,Appearance,0.6366916703383335,0.6453333333333333
2025,Qwen3.6-27B,Landmark cue,0.5250858802601858,0.6296036036036037
2025,Qwen3.6-27B,Spatial layout,0.7623659719960049,0.7386666666666667
